ts,temperature,flow,energy_kwh_inst,quality_signal,yield_proxy
2026-03-03T14:51:00Z,151.0,11.09,29.68,1,0.9515
2026-03-03T14:52:00Z,151.35,11.11,29.65,1,0.9594
2026-03-03T14:53:00Z,151.35,11.06,29.79,1,0.9412
2026-03-03T14:54:00Z,151.57,11.0,29.52,1,0.9604
2026-03-03T14:55:00Z,151.28,10.99,29.42,1,0.9488
2026-03-03T14:56:00Z,151.36,11.0,29.79,1,0.9423
2026-03-03T14:57:00Z,151.38,10.96,29.5,1,0.9502
2026-03-03T14:58:00Z,151.18,11.0,29.54,1,0.9483
2026-03-03T14:59:00Z,151.06,10.93,29.66,1,0.9535
2026-03-03T15:00:00Z,151.28,11.07,29.88,1,0.9389
2026-03-03T15:01:00Z,151.3,11.1,29.78,1,0.9493
2026-03-03T15:02:00Z,151.51,11.08,29.8,1,0.9522
2026-03-03T15:03:00Z,151.52,11.09,29.76,1,0.9549
2026-03-03T15:04:00Z,151.35,11.09,29.69,1,0.9652
2026-03-03T15:05:00Z,151.11,11.15,29.77,1,0.9394
2026-03-03T15:06:00Z,150.99,11.15,29.85,1,0.9527
2026-03-03T15:07:00Z,151.06,11.15,29.9,1,0.9598
2026-03-03T15:08:00Z,151.39,11.13,29.85,1,0.9464
2026-03-03T15:09:00Z,151.34,11.13,29.79,1,0.9575
2026-03-03T15:10:00Z,151.15,11.03,29.65,1,0.955
2026-03-03T15:11:00Z,151.28,11.05,29.72,1,0.9451
2026-03-03T15:12:00Z,151.26,11.07,29.66,1,0.9321
2026-03-03T15:13:00Z,151.11,11.07,29.78,1,0.9455
2026-03-03T15:14:00Z,150.93,11.09,29.73,1,0.9365
2026-03-03T15:15:00Z,151.07,11.08,29.66,1,0.9453
2026-03-03T15:16:00Z,151.17,11.07,29.68,1,0.9352
2026-03-03T15:17:00Z,151.1,11.04,29.57,1,0.9314
2026-03-03T15:18:00Z,151.21,11.07,29.54,1,0.9472
2026-03-03T15:19:00Z,151.27,11.02,29.67,1,0.9619
2026-03-03T15:20:00Z,151.36,11.0,29.56,1,0.9639
2026-03-03T15:21:00Z,151.24,10.97,29.45,1,0.9611
2026-03-03T15:22:00Z,151.49,10.99,29.47,1,0.9447
2026-03-03T15:23:00Z,151.53,10.98,29.3,1,0.9317
2026-03-03T15:24:00Z,151.41,10.93,29.28,1,0.9386
2026-03-03T15:25:00Z,151.41,10.95,29.33,1,0.9629
2026-03-03T15:26:00Z,151.67,10.89,29.38,1,0.9535
2026-03-03T15:27:00Z,151.62,10.94,29.35,1,0.9468
2026-03-03T15:28:00Z,152.01,11.0,29.38,1,0.9468
2026-03-03T15:29:00Z,151.96,11.03,29.64,1,0.9514
2026-03-03T15:30:00Z,151.84,10.97,29.71,1,0.9522
2026-03-03T15:31:00Z,151.96,10.97,29.65,1,0.9485
2026-03-03T15:32:00Z,151.94,10.9,29.46,1,0.9356
2026-03-03T15:33:00Z,151.86,10.85,29.31,1,0.9416
2026-03-03T15:34:00Z,152.23,10.91,29.45,1,0.9464
2026-03-03T15:35:00Z,152.57,10.8,29.1,1,0.9448
2026-03-03T15:36:00Z,152.64,10.83,29.29,1,0.9609
2026-03-03T15:37:00Z,152.5,10.81,29.3,1,0.94
2026-03-03T15:38:00Z,152.5,10.76,29.19,1,0.9474
2026-03-03T15:39:00Z,152.63,10.74,29.17,1,0.9575
2026-03-03T15:40:00Z,152.75,10.76,29.18,1,0.9369
2026-03-03T15:41:00Z,153.06,10.73,29.01,1,0.95
2026-03-03T15:42:00Z,152.97,10.71,29.05,1,0.9293
2026-03-03T15:43:00Z,152.73,10.69,29.02,1,0.9266
2026-03-03T15:44:00Z,152.73,10.71,29.13,1,0.9622
2026-03-03T15:45:00Z,152.8,10.76,29.33,1,0.9448
2026-03-03T15:46:00Z,152.71,10.7,28.81,1,0.9483
2026-03-03T15:47:00Z,152.69,10.71,29.07,1,0.9461
2026-03-03T15:48:00Z,152.72,10.66,28.79,1,0.9573
2026-03-03T15:49:00Z,152.84,10.64,28.85,1,0.9576
2026-03-03T15:50:00Z,152.96,10.61,28.86,1,0.9627
2026-03-03T15:51:00Z,152.7,10.54,28.75,1,0.945
2026-03-03T15:52:00Z,152.71,10.56,28.69,1,0.9376
2026-03-03T15:53:00Z,152.74,10.59,28.79,1,0.9502
2026-03-03T15:54:00Z,153.06,10.6,28.82,1,0.9439
2026-03-03T15:55:00Z,152.91,10.54,28.51,1,0.9671
2026-03-03T15:56:00Z,152.81,10.63,28.77,1,0.9489
2026-03-03T15:57:00Z,152.87,10.55,28.62,1,0.9519
2026-03-03T15:58:00Z,152.76,10.56,28.63,1,0.952
2026-03-03T15:59:00Z,152.93,10.6,28.83,1,0.9568
