ts,temperature,flow,energy_kwh_inst,quality_signal,yield_proxy
2026-03-03T19:01:00Z,148.96,11.63,30.54,1,0.9557
2026-03-03T19:02:00Z,148.73,11.69,30.92,1,0.9352
2026-03-03T19:03:00Z,148.73,11.6,30.68,1,0.9488
2026-03-03T19:04:00Z,148.87,11.59,30.73,1,0.9305
2026-03-03T19:05:00Z,148.93,11.61,30.79,1,0.9292
2026-03-03T19:06:00Z,149.02,11.64,30.77,1,0.9459
2026-03-03T19:07:00Z,149.3,11.76,30.89,1,0.9364
2026-03-03T19:08:00Z,148.9,11.75,30.92,1,0.9496
2026-03-03T19:09:00Z,149.02,11.67,30.9,1,0.9728
2026-03-03T19:10:00Z,148.92,11.59,30.76,1,0.9544
2026-03-03T19:11:00Z,149.29,11.62,30.47,1,0.9503
2026-03-03T19:12:00Z,149.2,11.54,30.62,1,0.9618
2026-03-03T19:13:00Z,149.38,11.5,30.58,1,0.9726
2026-03-03T19:14:00Z,149.16,11.58,30.75,1,0.9466
2026-03-03T19:15:00Z,149.22,11.55,30.62,1,0.9481
2026-03-03T19:16:00Z,148.93,11.61,30.85,1,0.9481
2026-03-03T19:17:00Z,148.88,11.6,30.56,1,0.9717
2026-03-03T19:18:00Z,148.89,11.57,30.54,1,0.9468
2026-03-03T19:19:00Z,148.97,11.6,30.75,1,0.9448
2026-03-03T19:20:00Z,148.91,11.59,30.46,1,0.9402
2026-03-03T19:21:00Z,148.96,11.64,30.65,1,0.9502
2026-03-03T19:22:00Z,149.05,11.6,30.63,1,0.9688
2026-03-03T19:23:00Z,149.07,11.66,30.82,1,0.935
2026-03-03T19:24:00Z,149.08,11.65,30.54,1,0.9439
2026-03-03T19:25:00Z,148.68,11.62,30.8,1,0.9318
2026-03-03T19:26:00Z,148.85,11.65,30.69,1,0.9562
2026-03-03T19:27:00Z,148.99,11.65,30.82,1,0.9572
2026-03-03T19:28:00Z,148.88,11.67,30.68,1,0.9652
2026-03-03T19:29:00Z,148.9,11.7,31.11,1,0.9408
2026-03-03T19:30:00Z,148.68,11.69,30.84,1,0.9448
2026-03-03T19:31:00Z,148.66,11.77,31.06,1,0.9567
2026-03-03T19:32:00Z,148.8,11.76,30.82,1,0.9446
2026-03-03T19:33:00Z,149.19,11.7,30.83,1,0.9763
2026-03-03T19:34:00Z,149.2,11.73,30.91,1,0.9561
2026-03-03T19:35:00Z,149.02,11.79,31.03,1,0.9544
2026-03-03T19:36:00Z,149.05,11.78,31.11,1,0.9278
2026-03-03T19:37:00Z,148.49,11.76,30.97,1,0.9508
2026-03-03T19:38:00Z,148.5,11.78,30.91,1,0.9347
2026-03-03T19:39:00Z,148.57,11.75,31.03,1,0.9436
2026-03-03T19:40:00Z,148.43,11.79,30.87,1,0.9544
2026-03-03T19:41:00Z,148.23,11.74,30.97,1,0.9606
2026-03-03T19:42:00Z,148.53,11.66,30.84,1,0.9387
2026-03-03T19:43:00Z,148.5,11.71,30.87,1,0.9506
2026-03-03T19:44:00Z,148.44,11.78,31.05,1,0.9476
2026-03-03T19:45:00Z,148.55,11.79,31.03,1,0.9404
2026-03-03T19:46:00Z,148.51,11.83,31.02,1,0.9674
2026-03-03T19:47:00Z,148.36,11.75,30.92,1,0.9529
2026-03-03T19:48:00Z,148.77,11.75,30.83,1,0.9486
2026-03-03T19:49:00Z,148.8,11.74,31.04,1,0.9383
2026-03-03T19:50:00Z,148.46,11.74,31.04,1,0.9616
2026-03-03T19:51:00Z,148.46,11.79,30.95,1,0.9574
2026-03-03T19:52:00Z,148.62,11.81,30.85,1,0.9444
2026-03-03T19:53:00Z,148.68,11.82,30.87,1,0.944
2026-03-03T19:54:00Z,148.87,11.8,30.95,1,0.9406
2026-03-03T19:55:00Z,149.08,11.76,31.09,1,0.9467
2026-03-03T19:56:00Z,148.9,11.75,30.73,1,0.9514
2026-03-03T19:57:00Z,149.22,11.76,31.12,1,0.9649
2026-03-03T19:58:00Z,149.06,11.73,30.89,1,0.9528
2026-03-03T19:59:00Z,149.2,11.76,30.77,1,0.9427
